policy,horizon,arm,family,standardized_mae
new_4h,1,deterministic_wm,bias,0.34112293428609464
new_4h,1,legacy,bias,0.419699299712611
new_4h,1,ungated_h8,bias,0.36827049543066487
new_4h,2,deterministic_wm,bias,0.33248609338786422
new_4h,2,legacy,bias,0.42145241078725748
new_4h,2,ungated_h8,bias,0.36441251810213809
new_4h,4,deterministic_wm,bias,0.32462860576904601
new_4h,4,legacy,bias,0.42937727335376225
new_4h,4,ungated_h8,bias,0.37077108756245164
new_4h,8,deterministic_wm,bias,0.31490177627270993
new_4h,8,legacy,bias,0.43945470508784396
new_4h,8,ungated_h8,bias,0.36926146519549391
new_4h,1,deterministic_wm,drift,0.28520057884282252
new_4h,1,legacy,drift,0.41594538112330937
new_4h,1,ungated_h8,drift,0.36018934219749038
new_4h,2,deterministic_wm,drift,0.28617941132219532
new_4h,2,legacy,drift,0.41873480058151796
new_4h,2,ungated_h8,drift,0.3585303956936074
new_4h,4,deterministic_wm,drift,0.29279273948197054
new_4h,4,legacy,drift,0.4276026724832776
new_4h,4,ungated_h8,drift,0.3673622591957903
new_4h,8,deterministic_wm,drift,0.29634530792075525
new_4h,8,legacy,drift,0.43876812217656075
new_4h,8,ungated_h8,drift,0.36820065659259865
new_4h,1,deterministic_wm,dropout,0.37566249985759542
new_4h,1,legacy,dropout,0.43895434918831117
new_4h,1,ungated_h8,dropout,0.38900043616471008
new_4h,2,deterministic_wm,dropout,0.35971746094102447
new_4h,2,legacy,dropout,0.43472838562732813
new_4h,2,ungated_h8,dropout,0.37987764939533469
new_4h,4,deterministic_wm,dropout,0.34401831637674185
new_4h,4,legacy,dropout,0.43721206549603914
new_4h,4,ungated_h8,dropout,0.38149266242119945
new_4h,8,deterministic_wm,dropout,0.32716159299809283
new_4h,8,legacy,dropout,0.44344860307141859
new_4h,8,ungated_h8,dropout,0.37635839290759066
new_4h,1,deterministic_wm,healthy,0.26099304217431529
new_4h,1,legacy,healthy,0.41489624674263115
new_4h,1,ungated_h8,healthy,0.35675236783883468
new_4h,2,deterministic_wm,healthy,0.26667763144480938
new_4h,2,legacy,healthy,0.41816464188061236
new_4h,2,ungated_h8,healthy,0.35636713056387642
new_4h,4,deterministic_wm,healthy,0.27944272072567533
new_4h,4,legacy,healthy,0.42725158944244751
new_4h,4,ungated_h8,healthy,0.36645170705577651
new_4h,8,deterministic_wm,healthy,0.28880280198269448
new_4h,8,legacy,healthy,0.43856909371936698
new_4h,8,ungated_h8,healthy,0.36784682453774004
new_4h,1,deterministic_wm,stuck,0.34886967244268119
new_4h,1,legacy,stuck,0.43039910464525627
new_4h,1,ungated_h8,stuck,0.37845285387636024
new_4h,2,deterministic_wm,stuck,0.33500905215672477
new_4h,2,legacy,stuck,0.42764433572455213
new_4h,2,ungated_h8,stuck,0.37067951948805816
new_4h,4,deterministic_wm,stuck,0.32496701259279842
new_4h,4,legacy,stuck,0.43223759079329011
new_4h,4,ungated_h8,stuck,0.37430365652032438
new_4h,8,deterministic_wm,stuck,0.31166373134635061
new_4h,8,legacy,stuck,0.44194290048767643
new_4h,8,ungated_h8,stuck,0.37197690756871632
old_2h,1,deterministic_wm,bias,0.35867421054245791
old_2h,1,legacy,bias,0.43676120207373231
old_2h,1,ungated_h8,bias,0.37460475454986747
old_2h,2,deterministic_wm,bias,0.33180014052967016
old_2h,2,legacy,bias,0.42074941188592896
old_2h,2,ungated_h8,bias,0.35304263018724208
old_2h,4,deterministic_wm,bias,0.30885362198334915
old_2h,4,legacy,bias,0.41051123640821724
old_2h,4,ungated_h8,bias,0.35036498216441631
old_2h,8,deterministic_wm,bias,0.3036535252903822
old_2h,8,legacy,bias,0.42883187780340037
old_2h,8,ungated_h8,bias,0.35773662261512279
old_2h,1,deterministic_wm,drift,0.2985251063856213
old_2h,1,legacy,drift,0.43282231809174726
old_2h,1,ungated_h8,drift,0.36621460864322941
old_2h,2,deterministic_wm,drift,0.28187796488186223
old_2h,2,legacy,drift,0.41802197982710942
old_2h,2,ungated_h8,drift,0.34738400181332157
old_2h,4,deterministic_wm,drift,0.27472651075103854
old_2h,4,legacy,drift,0.40876915691723709
old_2h,4,ungated_h8,drift,0.34746594974924205
old_2h,8,deterministic_wm,drift,0.28437240781245871
old_2h,8,legacy,drift,0.42809979102206719
old_2h,8,ungated_h8,drift,0.35669153601976245
old_2h,1,deterministic_wm,dropout,0.37770563545199343
old_2h,1,legacy,dropout,0.45192075636440893
old_2h,1,ungated_h8,dropout,0.38838188138001356
old_2h,2,deterministic_wm,dropout,0.34626238376882013
old_2h,2,legacy,dropout,0.42964267590850175
old_2h,2,ungated_h8,dropout,0.3629623353582212
old_2h,4,deterministic_wm,dropout,0.31936541974881399
old_2h,4,legacy,dropout,0.4166791926561943
old_2h,4,ungated_h8,dropout,0.3586776179677722
old_2h,8,deterministic_wm,dropout,0.31266127367126401
old_2h,8,legacy,dropout,0.4321656521388953
old_2h,8,ungated_h8,dropout,0.36302244352106688
old_2h,1,deterministic_wm,healthy,0.27292206579921169
old_2h,1,legacy,healthy,0.43170896464586556
old_2h,1,ungated_h8,healthy,0.36301257117691055
old_2h,2,deterministic_wm,healthy,0.262243803039933
old_2h,2,legacy,healthy,0.41736446121169452
old_2h,2,ungated_h8,healthy,0.345433741001756
old_2h,4,deterministic_wm,healthy,0.26160541619729549
old_2h,4,legacy,healthy,0.40840383871196656
old_2h,4,ungated_h8,healthy,0.346690980215137
old_2h,8,deterministic_wm,healthy,0.27667009669386794
old_2h,8,legacy,healthy,0.42788403528155272
old_2h,8,ungated_h8,healthy,0.35647780678486135
old_2h,1,deterministic_wm,stuck,0.34695488319539192
old_2h,1,legacy,stuck,0.43296676894178293
old_2h,1,ungated_h8,stuck,0.36794426214092274
old_2h,2,deterministic_wm,stuck,0.32129747112002105
old_2h,2,legacy,stuck,0.41786950447122201
