policy,horizon,arm,fault_channel,raw_unit,raw_mae
new_4h,1,deterministic_wm,hvac_electric_power_w,W,938.04771695137276
new_4h,1,legacy,hvac_electric_power_w,W,1074.1172519707006
new_4h,1,ungated_h8,hvac_electric_power_w,W,1021.4522246598221
new_4h,2,deterministic_wm,hvac_electric_power_w,W,985.26513180373729
new_4h,2,legacy,hvac_electric_power_w,W,1117.0198613309421
new_4h,2,ungated_h8,hvac_electric_power_w,W,1062.4438420291835
new_4h,4,deterministic_wm,hvac_electric_power_w,W,998.30299606752135
new_4h,4,legacy,hvac_electric_power_w,W,1104.2839322212117
new_4h,4,ungated_h8,hvac_electric_power_w,W,1061.4023256851353
new_4h,8,deterministic_wm,hvac_electric_power_w,W,893.11900360615857
new_4h,8,legacy,hvac_electric_power_w,W,1002.8124409047008
new_4h,8,ungated_h8,hvac_electric_power_w,W,932.68835050190762
new_4h,1,deterministic_wm,zone_temperature_k,K,0.52296940244851509
new_4h,1,legacy,zone_temperature_k,K,0.80119412822561997
new_4h,1,ungated_h8,zone_temperature_k,K,0.63171167862226951
new_4h,2,deterministic_wm,zone_temperature_k,K,0.51112249315824021
new_4h,2,legacy,zone_temperature_k,K,0.81464338928902347
new_4h,2,ungated_h8,zone_temperature_k,K,0.63876815251932639
new_4h,4,deterministic_wm,zone_temperature_k,K,0.5028216987473505
new_4h,4,legacy,zone_temperature_k,K,0.84100038722065207
new_4h,4,ungated_h8,zone_temperature_k,K,0.66472314055384552
new_4h,8,deterministic_wm,zone_temperature_k,K,0.49932960234889717
new_4h,8,legacy,zone_temperature_k,K,0.87006444118115567
new_4h,8,ungated_h8,zone_temperature_k,K,0.68135406977646928
old_2h,1,deterministic_wm,hvac_electric_power_w,W,981.14155036346949
old_2h,1,legacy,hvac_electric_power_w,W,1143.2837675765597
old_2h,1,ungated_h8,hvac_electric_power_w,W,1070.1414825485977
old_2h,2,deterministic_wm,hvac_electric_power_w,W,990.93375961108586
old_2h,2,legacy,hvac_electric_power_w,W,1146.1719474963672
old_2h,2,ungated_h8,hvac_electric_power_w,W,1073.28015341684
old_2h,4,deterministic_wm,hvac_electric_power_w,W,971.6758472435173
old_2h,4,legacy,hvac_electric_power_w,W,1097.0047721842827
old_2h,4,ungated_h8,hvac_electric_power_w,W,1051.4693585003017
old_2h,8,deterministic_wm,hvac_electric_power_w,W,880.61984370590437
old_2h,8,legacy,hvac_electric_power_w,W,1010.3680400452854
old_2h,8,ungated_h8,hvac_electric_power_w,W,931.5682493881128
old_2h,1,deterministic_wm,zone_temperature_k,K,0.49281937656168101
old_2h,1,legacy,zone_temperature_k,K,0.7450326102966196
old_2h,1,ungated_h8,zone_temperature_k,K,0.57356742810104955
old_2h,2,deterministic_wm,zone_temperature_k,K,0.48221177782841451
old_2h,2,legacy,zone_temperature_k,K,0.75945253527479217
old_2h,2,ungated_h8,zone_temperature_k,K,0.58340786167164949
old_2h,4,deterministic_wm,zone_temperature_k,K,0.46976829285036109
old_2h,4,legacy,zone_temperature_k,K,0.7852267713392963
old_2h,4,ungated_h8,zone_temperature_k,K,0.6087255119241527
old_2h,8,deterministic_wm,zone_temperature_k,K,0.45725896146573747
old_2h,8,legacy,zone_temperature_k,K,0.8135285965062794
old_2h,8,ungated_h8,zone_temperature_k,K,0.62627943501889838
