policy,estimand,stratum_type,stratum,estimate_percent
old_2h,A,case,bestest_hydronic_heat_pump,-8.27043290562961
old_2h,A,case,multizone_office_simple_air,-9.3500259275569153
old_2h,A,case,twozone_apartment_hydronic,-49.170482856735156
old_2h,A,family,bias,-17.81079184673424
old_2h,A,family,drift,-25.43113404131585
old_2h,A,family,stuck,-22.464588659576123
old_2h,A,model_seed,202608011,-19.998143652159595
old_2h,A,model_seed,202608012,-26.091409223990247
old_2h,A,model_seed,202608013,-17.3999833045279
old_2h,A,model_seed,202608014,-27.649255634217941
old_2h,A,model_seed,202608015,-17.904505233560421
old_2h,D,case,bestest_hydronic_heat_pump,7.0952274116696472
old_2h,D,case,multizone_office_simple_air,16.517422877171562
old_2h,D,case,twozone_apartment_hydronic,22.274038285330512
old_2h,D,family,bias,16.578817683155446
old_2h,D,family,drift,16.680282611636187
old_2h,D,family,stuck,16.710356320114695
old_2h,D,model_seed,202608011,17.445273483556022
old_2h,D,model_seed,202608012,19.815314153916997
old_2h,D,model_seed,202608013,12.874089876005524
old_2h,D,model_seed,202608014,15.556883733180316
old_2h,D,model_seed,202608015,17.132730901790239
new_4h,A,case,bestest_hydronic_heat_pump,-10.38160589448507
new_4h,A,case,multizone_office_simple_air,-9.101200023553746
new_4h,A,case,twozone_apartment_hydronic,-45.437889228815379
new_4h,A,family,bias,-17.262426895841855
new_4h,A,family,drift,-24.247169349837684
new_4h,A,family,stuck,-19.352003507697233
new_4h,A,model_seed,202608011,-17.550853174822588
new_4h,A,model_seed,202608012,-26.111814038312531
new_4h,A,model_seed,202608013,-15.21870984696816
new_4h,A,model_seed,202608014,-26.075718873299781
new_4h,A,model_seed,202608015,-16.324146145179807
new_4h,D,case,bestest_hydronic_heat_pump,5.5980979138938736
new_4h,D,case,multizone_office_simple_air,16.450719277639038
new_4h,D,case,twozone_apartment_hydronic,23.226356899918656
new_4h,D,family,bias,15.972804268489726
new_4h,D,family,drift,16.08308854205357
new_4h,D,family,stuck,15.831455339989342
new_4h,D,model_seed,202608011,17.04893757173549
new_4h,D,model_seed,202608012,19.391768543488986
new_4h,D,model_seed,202608013,11.054367545170162
new_4h,D,model_seed,202608014,16.366080271678108
new_4h,D,model_seed,202608015,15.212059963267455
