case,model_seed,history,alpha,feature_dim,active_coefficients,validation_h8_mae,selected
bestest_hydronic_heat_pump,202608011,24,10,323,1296,0.55551286599903826,True
bestest_hydronic_heat_pump,202608011,24,1,323,1296,0.55623029035799409,False
bestest_hydronic_heat_pump,202608011,16,100,219,880,0.55834741181653202,False
bestest_hydronic_heat_pump,202608011,24,100,323,1296,0.55906116420240093,False
bestest_hydronic_heat_pump,202608011,24,0.10000000000000001,323,1296,0.56647453143936122,False
bestest_hydronic_heat_pump,202608011,16,10,219,880,0.56708387231002777,False
bestest_hydronic_heat_pump,202608011,24,1000,323,1296,0.56855391848819603,False
bestest_hydronic_heat_pump,202608011,4,100,63,256,0.56890421384412448,False
bestest_hydronic_heat_pump,202608011,8,1000,115,464,0.56996480509225411,False
bestest_hydronic_heat_pump,202608011,16,1000,219,880,0.57048298271262987,False
bestest_hydronic_heat_pump,202608011,40,10000,531,2128,0.57142690814440622,False
bestest_hydronic_heat_pump,202608011,8,100,115,464,0.57364924788837479,False
bestest_hydronic_heat_pump,202608011,40,1000,531,2128,0.57750880222016132,False
bestest_hydronic_heat_pump,202608011,24,10000,323,1296,0.577643566752154,False
bestest_hydronic_heat_pump,202608011,4,10,63,256,0.58167544383613967,False
bestest_hydronic_heat_pump,202608011,40,100,531,2128,0.58248625060473536,False
bestest_hydronic_heat_pump,202608011,4,1000,63,256,0.58482518450117693,False
bestest_hydronic_heat_pump,202608011,16,10000,219,880,0.5867521514743419,False
bestest_hydronic_heat_pump,202608011,8,10000,115,464,0.58884789992412268,False
bestest_hydronic_heat_pump,202608011,40,10,531,2128,0.59076418854297463,False
bestest_hydronic_heat_pump,202608011,4,0.10000000000000001,63,256,0.59218233834796075,False
bestest_hydronic_heat_pump,202608011,40,1,531,2128,0.59466883496213685,False
bestest_hydronic_heat_pump,202608011,40,0.10000000000000001,531,2128,0.59526398350079346,False
bestest_hydronic_heat_pump,202608011,40,0.01,531,2128,0.5953282186180916,False
bestest_hydronic_heat_pump,202608011,40,0.001,531,2128,0.59533467541847129,False
bestest_hydronic_heat_pump,202608011,40,0.0001,531,2128,0.59533531465851264,False
bestest_hydronic_heat_pump,202608011,8,10,115,464,0.59990737805657268,False
bestest_hydronic_heat_pump,202608011,4,10000,63,256,0.60773480097124755,False
bestest_hydronic_heat_pump,202608011,8,1,115,464,0.60880741981947761,False
bestest_hydronic_heat_pump,202608011,16,1,219,880,0.61631761029818088,False
bestest_hydronic_heat_pump,202608011,40,100000,531,2128,0.62017682424802012,False
bestest_hydronic_heat_pump,202608011,4,1,63,256,0.62524366377039675,False
bestest_hydronic_heat_pump,202608011,24,100000,323,1296,0.62658290477672951,False
bestest_hydronic_heat_pump,202608011,16,100000,219,880,0.64292630800758488,False
bestest_hydronic_heat_pump,202608011,8,100000,115,464,0.66025142037197915,False
bestest_hydronic_heat_pump,202608011,8,0.10000000000000001,115,464,0.66954183389941191,False
bestest_hydronic_heat_pump,202608011,4,0.0001,63,256,0.67304335681886374,False
bestest_hydronic_heat_pump,202608011,4,100000,63,256,0.68677354464106499,False
bestest_hydronic_heat_pump,202608011,4,0.01,63,256,0.70238671529377217,False
bestest_hydronic_heat_pump,202608011,16,0.10000000000000001,219,880,0.76942670675118308,False
bestest_hydronic_heat_pump,202608011,24,0.01,323,1296,0.81328985746224747,False
bestest_hydronic_heat_pump,202608011,4,0.001,63,256,0.89875591489158391,False
bestest_hydronic_heat_pump,202608011,8,0.01,115,464,1.2103892702288721,False
bestest_hydronic_heat_pump,202608011,16,0.01,219,880,1.6628929832375523,False
bestest_hydronic_heat_pump,202608011,24,0.001,323,1296,2.1591829736651644,False
bestest_hydronic_heat_pump,202608011,8,0.001,115,464,3.3112554782557275,False
bestest_hydronic_heat_pump,202608011,16,0.001,219,880,9.362619652523712,False
bestest_hydronic_heat_pump,202608011,8,0.0001,115,464,10.445918787526464,False
bestest_hydronic_heat_pump,202608011,24,0.0001,323,1296,11.402199592001399,False
bestest_hydronic_heat_pump,202608011,16,0.0001,219,880,30.431325031489159,False
bestest_hydronic_heat_pump,202608012,24,10,323,1296,0.55821460506963483,True
bestest_hydronic_heat_pump,202608012,24,100,323,1296,0.56257293145462461,False
bestest_hydronic_heat_pump,202608012,24,1,323,1296,0.56271746942448098,False
bestest_hydronic_heat_pump,202608012,16,100,219,880,0.56524104648856766,False
bestest_hydronic_heat_pump,202608012,16,10,219,880,0.56954668609615455,False
bestest_hydronic_heat_pump,202608012,24,1000,323,1296,0.57400461456986762,False
bestest_hydronic_heat_pump,202608012,8,1000,115,464,0.57697332402913371,False
bestest_hydronic_heat_pump,202608012,40,10000,531,2128,0.57773689677615692,False
bestest_hydronic_heat_pump,202608012,8,100,115,464,0.57837425644723062,False
bestest_hydronic_heat_pump,202608012,16,1000,219,880,0.57854564180603318,False
bestest_hydronic_heat_pump,202608012,4,100,63,256,0.57875886455305747,False
bestest_hydronic_heat_pump,202608012,24,10000,323,1296,0.58350097215631647,False
bestest_hydronic_heat_pump,202608012,40,1000,531,2128,0.58497811138166178,False
bestest_hydronic_heat_pump,202608012,4,10,63,256,0.5860813817300049,False
bestest_hydronic_heat_pump,202608012,4,0.10000000000000001,63,256,0.58812830117632475,False
bestest_hydronic_heat_pump,202608012,40,100,531,2128,0.59041232729536797,False
bestest_hydronic_heat_pump,202608012,4,1000,63,256,0.59452055056073838,False
bestest_hydronic_heat_pump,202608012,16,10000,219,880,0.59528482974666641,False
bestest_hydronic_heat_pump,202608012,8,1,115,464,0.59771505385481483,False
bestest_hydronic_heat_pump,202608012,8,10000,115,464,0.59778981018269106,False
bestest_hydronic_heat_pump,202608012,40,10,531,2128,0.59915894876026699,False
bestest_hydronic_heat_pump,202608012,8,10,115,464,0.59930904620312409,False
bestest_hydronic_heat_pump,202608012,40,1,531,2128,0.60320396742330895,False
